Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX80684I59500,Intel,Core i5-9500,110,87,9059,https://cpu.userbenchmark.com/SpeedTest/825467/IntelR-CoreTM-i5-9500-CPU---300GHz
CPU,BX80671I76950X,Intel,Core i7-6950X,111,86.8,6135,https://cpu.userbenchmark.com/Intel-Core-i7-6950X/Rating/3604
CPU,BX80684I59400,Intel,Core i5-9400,112,86.5,22187,https://cpu.userbenchmark.com/SpeedTest/735306/IntelR-CoreTM-i5-9400-CPU---290GHz
CPU,BX80673I99920X,Intel,Core i9-9920X,113,86.4,1009,https://cpu.userbenchmark.com/SpeedTest/656219/IntelR-CoreTM-i9-9920X-CPU---350GHz
CPU,100-100000457BOX,AMD,Ryzen 5 5500,114,86.2,3028,https://cpu.userbenchmark.com/SpeedTest/1820844/AMD-Ryzen-5-5500
CPU,100-100000011WOF,AMD,Ryzen TR 3970X,115,86.1,5130,https://cpu.userbenchmark.com/SpeedTest/970030/AMD-Ryzen-Threadripper-3970X-32-Core-Processor
CPU,100-100000071BOX,AMD,Ryzen 7 3700X,116,85.9,635419,https://cpu.userbenchmark.com/AMD-Ryzen-7-3700X/Rating/4043
CPU,BX80671I76900K,Intel,Core i7-6900K,117,85.9,6755,https://cpu.userbenchmark.com/Intel-Core-i7-6900K/Rating/3605
CPU,100-000000163,AMD,Ryzen TR 3990X,118,85.8,1222,https://cpu.userbenchmark.com/SpeedTest/1035665/AMD-Ryzen-Threadripper-3990X-64-Core-Processor
CPU,BX8069510940X,Intel,Core i9-10940X,119,85.7,1827,https://cpu.userbenchmark.com/SpeedTest/932085/IntelR-CoreTM-i9-10940X-CPU---330GHz
CPU,,Intel,Core i9-10900T,120,85.5,163,https://cpu.userbenchmark.com/SpeedTest/1238258/IntelR-CoreTM-i9-10900T-CPU---190GHz
CPU,BX80673I99940X,Intel,Core i9-9940X,121,85.4,1846,https://cpu.userbenchmark.com/SpeedTest/641326/IntelR-CoreTM-i9-9940X-CPU---330GHz
CPU,,Intel,Core i5-10600T,122,85.3,113,https://cpu.userbenchmark.com/SpeedTest/1250930/IntelR-CoreTM-i5-10600T-CPU---240GHz
CPU,BX8070110400F,Intel,Core i5-10400F,123,85.2,153026,https://cpu.userbenchmark.com/Intel-Core-i5-10400F/Rating/4079
CPU,,Intel,Core i7-10700T,124,85.2,1608,https://cpu.userbenchmark.com/SpeedTest/1218230/IntelR-CoreTM-i7-10700T-CPU---200GHz
CPU,BX8069510900X,Intel,Core i9-10900X,125,85.1,6322,https://cpu.userbenchmark.com/SpeedTest/969950/IntelR-CoreTM-i9-10900X-CPU---370GHz
CPU,BX80658i75775C,Intel,Core i7-5775C,126,84.9,2527,https://cpu.userbenchmark.com/SpeedTest/30276/IntelR-CoreTM-i7-5775C-CPU---330GHz
CPU,BX80673I99960X,Intel,Core i9-9960X,127,84.9,850,https://cpu.userbenchmark.com/SpeedTest/653060/IntelR-CoreTM-i9-9960X-CPU---310GHz
CPU,100-100000281BOX,AMD,Ryzen 5 3600XT,128,84.8,30318,https://cpu.userbenchmark.com/SpeedTest/1211585/AMD-Ryzen-5-3600XT-6-Core-Processor
CPU,BX80684I59400F,Intel,Core i5-9400F,129,84.8,299482,https://cpu.userbenchmark.com/Intel-Core-i5-9400F/Rating/4051
CPU,BX8070110400,Intel,Core i5-10400,130,84.5,71804,https://cpu.userbenchmark.com/Intel-Core-i5-10400/Rating/4073
CPU,,Intel,Core i9-10980HK,131,84.4,7777,https://cpu.userbenchmark.com/SpeedTest/1065893/IntelR-CoreTM-i9-10980HK-CPU---240GHz
CPU,BX8070110500,Intel,Core i5-10500,132,84.2,10180,https://cpu.userbenchmark.com/Intel-Core-i5-10500/Rating/4078
